Date	greedyFlips	randomFlips	Level_2_Mins
Average	321198553	5918533445	155.33
Average-Local 	87814973	3618375140	66.00
Average-Global	12810939	4425961897	91.42
Random-Flip	436612771	4374900620	123.34
Random-Flip-Local	447659672	4471242583	221.25
Random-Flip-Global	164183996 5246046673	109.00

