Date	greedyFlips	randomFlips	Level_2_Mins
Average	57330402	1409233221	155.33
Average-Local 	4054882	1154517806	66.00
Average-Global	10938	1187865452	91.42
Random-Flip	122440901	1333666110	123.34
Random-Flip-Local	137830329	1503811054 221.25
Random-Flip-Global	4680583 1436052962	109.00

